divipola_municipio,nombre_municipio,nombre_departamento,region,categoria
25154,Carmen de Carupa,Cundinamarca,Andina,Sexta
25168,Chaguaní,Cundinamarca,Andina,Sexta
25175,Chía,Cundinamarca,Andina,Sexta
25178,Chipaque,Cundinamarca,Andina,Sexta
25181,Choachí,Cundinamarca,Andina,Sexta
25183,Chocontá,Cundinamarca,Andina,Sexta
25200,Cogua,Cundinamarca,Andina,Sexta
25214,Cota,Cundinamarca,Andina,Sexta
25224,Cucunubá,Cundinamarca,Andina,Sexta
25245,El Colegio,Cundinamarca,Andina,Sexta
25258,El Peñón,Cundinamarca,Andina,Sexta
25260,El Rosal,Cundinamarca,Andina,Sexta
25269,Facatativá,Cundinamarca,Andina,Sexta
25279,Fomeque,Cundinamarca,Andina,Sexta
25281,Fosca,Cundinamarca,Andina,Sexta
25286,Funza,Cundinamarca,Andina,Sexta
25288,Fúquene,Cundinamarca,Andina,Sexta
25290,Fusagasugá,Cundinamarca,Andina,Sexta
25293,Gachala,Cundinamarca,Andina,Sexta
25295,Gachancipá,Cundinamarca,Andina,Sexta
25297,Gachetá,Cundinamarca,Andina,Sexta
25299,Gama,Cundinamarca,Andina,Sexta
25307,Girardot,Cundinamarca,Andina,Sexta
25312,Granada,Cundinamarca,Andina,Sexta
25317,Guachetá,Cundinamarca,Andina,Sexta
25320,Guaduas,Cundinamarca,Andina,Sexta
25322,Guasca,Cundinamarca,Andina,Sexta
25324,Guataquí,Cundinamarca,Andina,Sexta
25326,Guatavita,Cundinamarca,Andina,Sexta
25328,Guayabal de Siquima,Cundinamarca,Andina,Sexta
25335,Guayabetal,Cundinamarca,Andina,Sexta
25339,Gutiérrez,Cundinamarca,Andina,Sexta
25368,Jerusalén,Cundinamarca,Andina,Sexta
25372,Junín,Cundinamarca,Andina,Sexta
25377,La Calera,Cundinamarca,Andina,Sexta
25386,La Mesa,Cundinamarca,Andina,Sexta
25394,La Palma,Cundinamarca,Andina,Sexta
25398,La Peña,Cundinamarca,Andina,Sexta
25402,La Vega,Cundinamarca,Andina,Sexta
25407,Lenguazaque,Cundinamarca,Andina,Sexta
25426,Macheta,Cundinamarca,Andina,Sexta
25430,Madrid,Cundinamarca,Andina,Sexta
25436,Manta,Cundinamarca,Andina,Sexta
25438,Medina,Cundinamarca,Andina,Sexta
25473,Mosquera,Cundinamarca,Andina,Sexta
25483,Nariño,Cundinamarca,Andina,Sexta
25486,Nemocón,Cundinamarca,Andina,Sexta
25488,Nilo,Cundinamarca,Andina,Sexta
25489,Nimaima,Cundinamarca,Andina,Sexta
25491,Nocaima,Cundinamarca,Andina,Sexta
25506,Venecia,Cundinamarca,Andina,Sexta
25513,Pacho,Cundinamarca,Andina,Sexta
25518,Paime,Cundinamarca,Andina,Sexta
25524,Pandi,Cundinamarca,Andina,Sexta
25530,Paratebueno,Cundinamarca,Andina,Sexta
25535,Pasca,Cundinamarca,Andina,Sexta
25572,Puerto Salgar,Cundinamarca,Andina,Sexta
25580,Pulí,Cundinamarca,Andina,Sexta
25592,Quebradanegra,Cundinamarca,Andina,Sexta
25594,Quetame,Cundinamarca,Andina,Sexta
25596,Quipile,Cundinamarca,Andina,Sexta
25599,Apulo,Cundinamarca,Andina,Sexta
25612,Ricaurte,Cundinamarca,Andina,Sexta
25645,San Antonio del Tequendama,Cundinamarca,Andina,Sexta
25649,San Bernardo,Cundinamarca,Andina,Sexta
25653,San Cayetano,Cundinamarca,Andina,Sexta
25658,San Francisco,Cundinamarca,Andina,Sexta
25662,San Juan de Río Seco,Cundinamarca,Andina,Sexta
25718,Sasaima,Cundinamarca,Andina,Sexta
25736,Sesquilé,Cundinamarca,Andina,Sexta
25740,Sibaté,Cundinamarca,Andina,Sexta
25743,Silvania,Cundinamarca,Andina,Sexta
25745,Simijaca,Cundinamarca,Andina,Sexta
25754,Soacha,Cundinamarca,Andina,Sexta
25758,Sopó,Cundinamarca,Andina,Sexta
25769,Subachoque,Cundinamarca,Andina,Sexta
25772,Suesca,Cundinamarca,Andina,Sexta
25777,Supatá,Cundinamarca,Andina,Sexta
25779,Susa,Cundinamarca,Andina,Sexta
25781,Sutatausa,Cundinamarca,Andina,Sexta
25785,Tabio,Cundinamarca,Andina,Sexta
25793,Tausa,Cundinamarca,Andina,Sexta
25797,Tena,Cundinamarca,Andina,Sexta
25799,Tenjo,Cundinamarca,Andina,Sexta
25805,Tibacuy,Cundinamarca,Andina,Sexta
25807,Tibirita,Cundinamarca,Andina,Sexta
25815,Tocaima,Cundinamarca,Andina,Sexta
25817,Tocancipá,Cundinamarca,Andina,Sexta
